instance,balance_load,total_vehicles,safe_vehicles,p_safe
3l_cvrp15_5,0.6488210740502585,8,0,0.0
3l_cvrp15_6,0.6890888019251724,8,2,0.25
3l_cvrp15_7,0.32600369558588194,8,4,0.5
3l_cvrp15_8,0.30982652526689153,8,4,0.5
3l_cvrp15_9,0.6708053047351706,8,1,0.125
3l_cvrp16_0,0.6249787500039116,12,2,0.16666666666666666
3l_cvrp16_1,0.6342704624608632,12,1,0.08333333333333333
3l_cvrp16_2,0.4487973401298388,12,1,0.08333333333333333
3l_cvrp16_3,0.6442487354089604,12,2,0.16666666666666666
3l_cvrp16_4,0.5094254887591741,13,0,0.0
3l_cvrp16_5,0.6734613936013218,12,1,0.08333333333333333
3l_cvrp16_6,0.4574700222278331,12,0,0.0
3l_cvrp16_7,0.6183842642344591,12,2,0.16666666666666666
3l_cvrp16_8,0.5872285157699475,12,1,0.08333333333333333
3l_cvrp16_9,0.7075337008038556,12,2,0.16666666666666666
3l_cvrp18_0,0.6483305569640078,12,2,0.16666666666666666
3l_cvrp18_1,0.6067551172278118,12,1,0.08333333333333333
3l_cvrp18_2,0.7885272413019018,12,2,0.16666666666666666
3l_cvrp18_3,1.0646026342594472,13,2,0.15384615384615385
3l_cvrp18_4,0.5893406429874765,12,4,0.3333333333333333
3l_cvrp18_5,1.695946612116756,11,1,0.09090909090909091
3l_cvrp18_6,1.2276333954041716,13,1,0.07692307692307693
3l_cvrp18_7,0.8606642983686716,13,2,0.15384615384615385
3l_cvrp18_8,0.7777955537975798,13,1,0.07692307692307693
3l_cvrp18_9,0.4286179939777867,12,2,0.16666666666666666
3l_cvrp19_0,0.4061560243371551,12,2,0.16666666666666666
3l_cvrp19_1,0.5120318990347108,12,4,0.3333333333333333
3l_cvrp19_2,0.5469593428266303,12,1,0.08333333333333333
3l_cvrp19_3,0.4527216070266918,12,2,0.16666666666666666
3l_cvrp19_4,0.4511099775538416,12,3,0.25
3l_cvrp19_5,0.5593552601546757,11,2,0.18181818181818182
3l_cvrp19_6,0.5544821399471903,12,1,0.08333333333333333
3l_cvrp19_7,0.4425124521328134,11,0,0.0
3l_cvrp19_8,0.6874544675332382,12,0,0.0
3l_cvrp19_9,0.5674233252939497,12,1,0.08333333333333333
3l_cvrp21_0,0.6187507759203964,20,7,0.35
3l_cvrp21_1,0.5525319776730563,20,4,0.2
3l_cvrp21_2,0.5112095696421296,20,3,0.15
3l_cvrp21_3,0.5100034011777697,20,2,0.1
3l_cvrp21_4,0.41491173336215115,18,2,0.1111111111111111
3l_cvrp21_5,0.619304073454075,18,5,0.2777777777777778
3l_cvrp21_6,0.549995372222189,18,5,0.2777777777777778
3l_cvrp21_7,0.48893315063539655,20,6,0.3
3l_cvrp21_8,0.37179111715814733,17,5,0.29411764705882354
3l_cvrp21_9,0.507395157412179,17,3,0.17647058823529413
3l_cvrp23_0,0.494620839892663,18,4,0.2222222222222222
3l_cvrp23_1,0.351084769869249,19,4,0.21052631578947367
3l_cvrp23_2,0.3882001799053115,19,5,0.2631578947368421
3l_cvrp23_3,0.568058764398899,22,5,0.22727272727272727
3l_cvrp23_4,0.45331050177967797,18,4,0.2222222222222222
3l_cvrp23_5,0.6180567394622586,18,4,0.2222222222222222
3l_cvrp23_6,0.5946088610734773,19,4,0.21052631578947367
3l_cvrp23_7,0.5262125015866278,20,4,0.2
3l_cvrp23_8,0.5023805501625305,18,3,0.16666666666666666
3l_cvrp23_9,0.43586813261078844,19,4,0.21052631578947367
3l_cvrp25_0,0.48305952101882005,23,4,0.17391304347826086
3l_cvrp25_1,0.6545005274468163,29,4,0.13793103448275862
3l_cvrp25_2,0.6061754088693223,22,4,0.18181818181818182
3l_cvrp25_3,0.6346422763906839,27,4,0.14814814814814814
3l_cvrp25_4,0.6749079058586589,22,3,0.13636363636363635
3l_cvrp25_5,0.6438929608345518,26,3,0.11538461538461539
3l_cvrp25_6,0.7482514022063693,22,2,0.09090909090909091
3l_cvrp25_7,0.5946296031052539,24,4,0.16666666666666666
3l_cvrp25_8,0.7809515636387453,23,2,0.08695652173913043
3l_cvrp25_9,0.6884812945545412,23,3,0.13043478260869565
3l_cvrp26_0,0.6686761317729611,26,7,0.2692307692307692
3l_cvrp26_1,0.42611993959259703,26,5,0.19230769230769232
3l_cvrp26_2,0.44875057614751157,27,8,0.2962962962962963
3l_cvrp26_3,0.551481564880823,33,5,0.15151515151515152
3l_cvrp26_4,0.5598641306880994,26,5,0.19230769230769232
3l_cvrp26_5,0.5294318912595911,27,3,0.1111111111111111
3l_cvrp26_6,0.423804819151673,25,9,0.36
3l_cvrp26_7,0.5938872433414547,29,5,0.1724137931034483
3l_cvrp26_8,0.4475626191713473,31,5,0.16129032258064516
3l_cvrp26_9,0.4717182043520336,28,5,0.17857142857142858
